Xdot   Ydot   Zdot   rotXdot   rotYdot   rotZdot
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
0           0           0           0           0           0
